sector,avg_yearly_return
ALUMINIUM,0.002356686091343471
AUTOMOBILES,0.002384734562033078
ENERGY,0.002266688347005739
FOOD & TOBACCO,0.0005350424103827995
PHARMACEUTICALS,0.0009581565848531494
POWER,0.0026501983283692084
RETAILING,0.0031347979648751966
SOFTWARE,0.0013994820308840276
TEXTILES,0.001417107807809135
